#Position (bp)	mapping quality
112944.0	39.72202907243062
338831.0	39.87803026436664
564718.0	41.87522488808838
790605.0	41.13399155048236
1016492.0	41.97151987133364
1242379.0	27.322968657399734
1468266.0	41.708176956570746
1694153.0	41.92602535922648
1920040.0	41.87017837422821
2145927.0	35.05262145150334
2371814.0	41.4731830778383
2597701.0	15.5653191496951
2823588.0	41.02205508588606
3049475.0	40.2168317889826
3275362.0	40.37699740400598
3501249.0	41.77401278743549
3727136.0	41.86737029439862
3953023.0	41.9281030453398
4178910.0	41.869222085023814
4404797.0	41.922267567077014
4630684.0	41.795198274292275
4856571.0	41.90779177740285
5082458.0	41.81202398403002
5308345.0	41.82531136906998
5534232.0	0.0
5760119.0	42.0
5986006.0	42.0
6211893.0	0.0
6437780.0	42.0
6663667.0	41.16113666228647
6889554.0	0.0
7115441.0	41.70819451203534
7341328.0	42.0
7567215.0	42.0
7793102.0	41.917821292840465
8018989.0	0.0
8244876.0	0.0
8470763.0	41.16592501798609
8696650.0	41.77592606113707
8922537.0	41.88461229081094
9148424.0	41.52045155764481
9374311.0	0.0
9600198.0	40.030141843971634
9826085.0	41.93885714860055
1.0051972E7	41.99445295578213
1.0277859E7	41.40198941412667
1.0503746E7	41.91123259325541
1.0729633E7	41.41503759398496
1.095552E7	41.88121168383377
1.1181407E7	40.959708172768146
1.1407294E7	41.9698923781723
1.1633181E7	41.83230787791048
1.1859068E7	41.889588086819515
1.2084955E7	22.796350805531276
1.2310842E7	41.9727304954869
1.2536729E7	41.99719495091164
1.2762616E7	41.78405215007491
1.2988503E7	41.464471793335015
1.321439E7	42.0
1.3440277E7	41.67410487018496
1.3666164E7	0.0
1.3892051E7	0.0
1.4117938E7	41.82921904372575
1.4343825E7	41.942546413111415
1.4569712E7	41.89247230423701
1.4795599E7	9.930948252219412
1.5021486E7	9.96192484643339
1.5247373E7	12.29076448981833
1.547326E7	8.884878723552339
1.5699147E7	41.94351364799545
1.5925034E7	41.68184246160881
1.6150921E7	41.79477822990286
1.6376808E7	3.547960475491949
1.6602695E7	14.307692307692308
1.6828582E7	0.0
1.7054469E7	41.56711059640996
1.7280356E7	41.912442487901345
1.7506243E7	41.527747551686616
1.773213E7	0.0
1.7958017E7	41.944220207158395
1.8183904E7	14.22177554438861
1.8409791E7	1.1757991332014204
1.8635678E7	3.881640269538674
1.8861565E7	28.265151548924067
1.9087452E7	41.90302723499038
1.9313339E7	41.9559433731999
1.9539226E7	41.82645873399724
1.9765113E7	41.92851719847312
1.9991E7	41.98392219585964
2.0216887E7	41.87952620505821
2.0442774E7	28.231106022215062
2.0668661E7	32.63059439458169
2.0894548E7	41.94610594326483
2.1120435E7	41.9584051013898
2.1346322E7	6.973522551081305
2.1572209E7	10.861619861619861
2.1798096E7	6.419110896885159
2.2023983E7	27.63932347404901
2.224987E7	41.874887234754944
